npc_type	table	chance
generic_creature_6	datatables/loot/new_loot/generic_creature.iff:level51_60	5000
generic_creature_7	datatables/loot/new_loot/generic_creature.iff:level61_70	5000
generic_creature_8	datatables/loot/new_loot/generic_creature.iff:level71_80	5000
generic_creature_9	datatables/loot/new_loot/generic_creature.iff:level81_90	5000
generic_droid_1	datatables/loot/new_loot/generic_droid.iff:level1_10	5000
generic_droid_2	datatables/loot/new_loot/generic_droid.iff:level11_20	5000
generic_droid_3	datatables/loot/new_loot/generic_droid.iff:level21_30	5000
generic_droid_4	datatables/loot/new_loot/generic_droid.iff:level31_40	5000
generic_droid_5	datatables/loot/new_loot/generic_droid.iff:level41_50	5000
generic_droid_6	datatables/loot/new_loot/generic_droid.iff:level51_60	5000
generic_droid_7	datatables/loot/new_loot/generic_droid.iff:level61_70	5000
generic_droid_8	datatables/loot/new_loot/generic_droid.iff:level71_80	5000
generic_droid_9	datatables/loot/new_loot/generic_droid.iff:level81_90	5000
generic_insect_1	datatables/loot/new_loot/generic_insect.iff:level1_10	5000
generic_insect_2	datatables/loot/new_loot/generic_insect.iff:level11_20	5000
generic_insect_3	datatables/loot/new_loot/generic_insect.iff:level21_30	5000
generic_insect_4	datatables/loot/new_loot/generic_insect.iff:level31_40	5000
generic_insect_5	datatables/loot/new_loot/generic_insect.iff:level41_50	5000
generic_insect_6	datatables/loot/new_loot/generic_insect.iff:level51_60	5000
generic_insect_7	datatables/loot/new_loot/generic_insect.iff:level61_70	5000
generic_insect_8	datatables/loot/new_loot/generic_insect.iff:level71_80	5000
generic_insect_9	datatables/loot/new_loot/generic_insect.iff:level81_90	5000
generic_npc_1	datatables/loot/new_loot/generic_npc.iff:level1_10	5000
generic_npc_2	datatables/loot/new_loot/generic_npc.iff:level11_20	5000
generic_npc_3	datatables/loot/new_loot/generic_npc.iff:level21_30	5000
generic_npc_4	datatables/loot/new_loot/generic_npc.iff:level31_40	5000
generic_npc_5	datatables/loot/new_loot/generic_npc.iff:level41_50	5000
generic_npc_6	datatables/loot/new_loot/generic_npc.iff:level51_60	5000
generic_npc_7	datatables/loot/new_loot/generic_npc.iff:level61_70	5000
generic_npc_8	datatables/loot/new_loot/generic_npc.iff:level71_80	5000
generic_npc_9	datatables/loot/new_loot/generic_npc.iff:level81_90	5000
elite_creature_1	datatables/loot/new_loot/elite_creature.iff:level1_10	5000
elite_creature_2	datatables/loot/new_loot/elite_creature.iff:level11_20	5000
elite_creature_3	datatables/loot/new_loot/elite_creature.iff:level21_30	5000
elite_creature_4	datatables/loot/new_loot/elite_creature.iff:level31_40	5000
elite_creature_5	datatables/loot/new_loot/elite_creature.iff:level41_50	5000
elite_creature_6	datatables/loot/new_loot/elite_creature.iff:level51_60	5000
elite_creature_7	datatables/loot/new_loot/elite_creature.iff:level61_70	5000
elite_creature_8	datatables/loot/new_loot/elite_creature.iff:level71_80	5000
elite_creature_9	datatables/loot/new_loot/elite_creature.iff:level81_90	5000
elite_droid_1	datatables/loot/new_loot/elite_droid.iff:level1_10	5000
elite_droid_2	datatables/loot/new_loot/elite_droid.iff:level11_20	5000
elite_droid_3	datatables/loot/new_loot/elite_droid.iff:level21_30	5000
elite_droid_4	datatables/loot/new_loot/elite_droid.iff:level31_40	5000
elite_droid_5	datatables/loot/new_loot/elite_droid.iff:level41_50	5000
elite_droid_6	datatables/loot/new_loot/elite_droid.iff:level51_60	5000
elite_droid_7	datatables/loot/new_loot/elite_droid.iff:level61_70	5000
elite_droid_8	datatables/loot/new_loot/elite_droid.iff:level71_80	5000
elite_droid_9	datatables/loot/new_loot/elite_droid.iff:level81_90	5000
elite_insect_1	datatables/loot/new_loot/elite_insect.iff:level1_10	5000
elite_insect_2	datatables/loot/new_loot/elite_insect.iff:level11_20	5000
elite_insect_3	datatables/loot/new_loot/elite_insect.iff:level21_30	5000
elite_insect_4	datatables/loot/new_loot/elite_insect.iff:level31_40	5000
elite_insect_5	datatables/loot/new_loot/elite_insect.iff:level41_50	5000
elite_insect_6	datatables/loot/new_loot/elite_insect.iff:level51_60	5000
elite_insect_7	datatables/loot/new_loot/elite_insect.iff:level61_70	5000
elite_insect_8	datatables/loot/new_loot/elite_insect.iff:level71_80	5000
elite_insect_9	datatables/loot/new_loot/elite_insect.iff:level81_90	5000
elite_npc_1	datatables/loot/new_loot/elite_npc.iff:level1_10	5000
elite_npc_2	datatables/loot/new_loot/elite_npc.iff:level11_20	5000
elite_npc_3	datatables/loot/new_loot/elite_npc.iff:level21_30	5000
elite_npc_4	datatables/loot/new_loot/elite_npc.iff:level31_40	5000
elite_npc_5	datatables/loot/new_loot/elite_npc.iff:level41_50	5000
	datatables/loot/npc/jedi_robe.iff:jedi_low	1500
elite_npc_6	datatables/loot/new_loot/elite_npc.iff:level51_60	5000
elite_npc_7	datatables/loot/new_loot/elite_npc.iff:level61_70	5000
	datatables/loot/npc/jedi_robe.iff:jedi_medium	800
elite_npc_8	datatables/loot/new_loot/elite_npc.iff:level71_80	5000
elite_npc_9	datatables/loot/new_loot/elite_npc.iff:level81_90	5000
	datatables/loot/npc/jedi_robe.iff:jedi_high	800
boss_creature_1	datatables/loot/new_loot/boss_creature.iff:level1_10	3500
boss_creature_2	datatables/loot/new_loot/boss_creature.iff:level11_20	3500
boss_creature_3	datatables/loot/new_loot/boss_creature.iff:level21_30	3500
boss_creature_4	datatables/loot/new_loot/boss_creature.iff:level31_40	3500
boss_creature_5	datatables/loot/new_loot/boss_creature.iff:level41_50	3500
boss_creature_6	datatables/loot/new_loot/boss_creature.iff:level51_60	3500
boss_creature_7	datatables/loot/new_loot/boss_creature.iff:level61_70	3500
boss_creature_8	datatables/loot/new_loot/boss_creature.iff:level71_80	3500
boss_creature_9	datatables/loot/new_loot/boss_creature.iff:level81_90	3500
boss_droid_1	datatables/loot/new_loot/boss_droid.iff:level1_10	3500
boss_droid_2	datatables/loot/new_loot/boss_droid.iff:level11_20	3500
boss_droid_3	datatables/loot/new_loot/boss_droid.iff:level21_30	3500
boss_droid_4	datatables/loot/new_loot/boss_droid.iff:level31_40	3500
boss_droid_5	datatables/loot/new_loot/boss_droid.iff:level41_50	3500
boss_droid_6	datatables/loot/new_loot/boss_droid.iff:level51_60	3500
boss_droid_7	datatables/loot/new_loot/boss_droid.iff:level61_70	3500
boss_droid_8	datatables/loot/new_loot/boss_droid.iff:level71_80	3500
boss_droid_9	datatables/loot/new_loot/boss_droid.iff:level81_90	3500
boss_insect_1	datatables/loot/new_loot/boss_insect.iff:level1_10	3500
boss_insect_2	datatables/loot/new_loot/boss_insect.iff:level11_20	3500
boss_insect_3	datatables/loot/new_loot/boss_insect.iff:level21_30	3500
boss_insect_4	datatables/loot/new_loot/boss_insect.iff:level31_40	3500
boss_insect_5	datatables/loot/new_loot/boss_insect.iff:level41_50	3500
boss_insect_6	datatables/loot/new_loot/boss_insect.iff:level51_60	3500
boss_insect_7	datatables/loot/new_loot/boss_insect.iff:level61_70	3500
boss_insect_8	datatables/loot/new_loot/boss_insect.iff:level71_80	3500
boss_insect_9	datatables/loot/new_loot/boss_insect.iff:level81_90	3500
boss_npc_1	datatables/loot/new_loot/boss_npc.iff:level1_10	3500
boss_npc_2	datatables/loot/new_loot/boss_npc.iff:level11_20	3500
boss_npc_3	datatables/loot/new_loot/boss_npc.iff:level21_30	3500
boss_npc_4	datatables/loot/new_loot/boss_npc.iff:level31_40	3500
boss_npc_5	datatables/loot/new_loot/boss_npc.iff:level41_50	3500
	datatables/loot/npc/jedi_robe.iff:jedi_low	2000
boss_npc_6	datatables/loot/new_loot/boss_npc.iff:level51_60	3500
boss_npc_7	datatables/loot/new_loot/boss_npc.iff:level61_70	3500
	datatables/loot/npc/jedi_robe.iff:jedi_medium	1000
boss_npc_8	datatables/loot/new_loot/boss_npc.iff:level71_80	3500
boss_npc_9	datatables/loot/new_loot/boss_npc.iff:level81_90	3500
	datatables/loot/npc/jedi_robe.iff:jedi_high	1000
